date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:36:00%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/crepera-electrica-doble	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/crepera-electrica-doble	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:02	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:36:01%20GMT	https://web.archive.org/web/20240325070546im_/http://www.industriaslunaelectric.com/archivos/images/products/crepera-electrica-doble-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546im_/http_/www.industriaslunaelectric.com/archivos/images/products/crepera-electrica-doble-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:02	52902/52902	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Oct%202024%2022:36:01%20GMT	https://web.archive.org/web/20240108070639im_/http://industriaslunaelectric.com/archivos/images/products/crepera-electrica-doble-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240108070639im_/http_/industriaslunaelectric.com/archivos/images/products/crepera-electrica-doble-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:02	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:36:01%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/crepera-electrica-doble	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/crepera-electrica-doble	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:02	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:36:02%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/waflera-electrica	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/waflera-electrica	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:03	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:36:02%20GMT	https://web.archive.org/web/20240325070546im_/http://www.industriaslunaelectric.com/archivos/images/products/waflera-electrica-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546im_/http_/www.industriaslunaelectric.com/archivos/images/products/waflera-electrica-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:03	41984/41984	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Oct%202024%2022:36:02%20GMT	https://web.archive.org/web/20240108070639im_/http://industriaslunaelectric.com/archivos/images/products/waflera-electrica-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240108070639im_/http_/industriaslunaelectric.com/archivos/images/products/waflera-electrica-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:03	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:36:02%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/waflera-electrica	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/waflera-electrica	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:03	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:36:03%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/waflera-electrica-doble	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/waflera-electrica-doble	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:04	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:36:03%20GMT	https://web.archive.org/web/20240325070546im_/http://www.industriaslunaelectric.com/archivos/images/products/waflera-electrica-doble-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546im_/http_/www.industriaslunaelectric.com/archivos/images/products/waflera-electrica-doble-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:04	51570/51570	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Oct%202024%2022:36:04%20GMT	https://web.archive.org/web/20240108070641im_/http://industriaslunaelectric.com/archivos/images/products/waflera-electrica-doble-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240108070641im_/http_/industriaslunaelectric.com/archivos/images/products/waflera-electrica-doble-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:04	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:36:04%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/waflera-electrica-doble	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/waflera-electrica-doble	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:05	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:36:04%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/waflera-electrica-burbuja	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/waflera-electrica-burbuja	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:05	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:36:04%20GMT	https://web.archive.org/web/20240325070546im_/http://www.industriaslunaelectric.com/archivos/images/products/waflera-burbuja-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546im_/http_/www.industriaslunaelectric.com/archivos/images/products/waflera-burbuja-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:06	53756/53756	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Oct%202024%2022:36:05%20GMT	https://web.archive.org/web/20240108070641im_/http://industriaslunaelectric.com/archivos/images/products/waflera-burbuja-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240108070641im_/http_/industriaslunaelectric.com/archivos/images/products/waflera-burbuja-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:36:05%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/waflera-electrica-doble	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/waflera-electrica-doble	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
